fen,move,eval_before,eval_after,delta,label
1r6/r5k1/3p4/p1pPp1p1/R3P1p1/1P4R1/P4PB1/6K1 b - - 11 38,Kg6,368,371,3,1
1r6/r7/3p2k1/p1pPp1p1/R3P1p1/1P4R1/P4PB1/6K1 w - - 12 39,Rxg4,401,392,-9,1
1r6/r7/3p2k1/p1pPp1p1/R3P1R1/1P6/P4PB1/6K1 b - - 0 39,Kh5,394,400,6,1
1r6/r7/3p4/p1pPp1pk/R3P1R1/1P6/P4PB1/6K1 w - - 1 40,Bf3,384,473,89,1
1r6/r7/3p4/p1pPp1pk/R3P1R1/1P3B2/P4P2/6K1 b - - 2 40,Rb4,441,472,31,1
8/r7/3p4/p1pPp1pk/Rr2P1R1/1P3B2/P4P2/6K1 w - - 3 41,Rg3+,470,457,-13,1
8/r7/3p4/p1pPp1pk/Rr2P3/1P3BR1/P4P2/6K1 b - - 4 41,Kh4,464,684,220,1
8/r7/3p4/p1pPp1p1/Rr2P2k/1P3BR1/P4P2/6K1 w - - 5 42,Rg4+,734,474,-260,0
8/r7/3p4/p1pPp1p1/Rr2P1Rk/1P3B2/P4P2/6K1 b - - 6 42,Kh5,465,477,12,1
8/r7/3p4/p1pPp1pk/Rr2P1R1/1P3B2/P4P2/6K1 w - - 7 43,Rg2+,470,458,-12,1
8/r7/3p4/p1pPp1pk/Rr2P3/1P3B2/P4PR1/6K1 b - - 8 43,Kg6,446,455,9,1
8/r7/3p2k1/p1pPp1p1/Rr2P3/1P3B2/P4PR1/6K1 w - - 9 44,Rh2,424,356,-68,1
8/r7/3p2k1/p1pPp1p1/Rr2P3/1P3B2/P4P1R/6K1 b - - 10 44,Rxa4,348,352,4,1
8/r7/3p2k1/p1pPp1p1/r3P3/1P3B2/P4P1R/6K1 w - - 0 45,bxa4,396,455,59,1
8/r7/3p2k1/p1pPp1p1/P3P3/5B2/P4P1R/6K1 b - - 0 45,Rh7,461,568,107,1
8/7r/3p2k1/p1pPp1p1/P3P3/5B2/P4P1R/6K1 w - - 1 46,Rxh7,552,488,-64,1
8/7R/3p2k1/p1pPp1p1/P3P3/5B2/P4P2/6K1 b - - 0 46,Kxh7,598,608,10,1
8/7k/3p4/p1pPp1p1/P3P3/5B2/P4P2/6K1 w - - 0 47,Kg2,594,556,-38,1
8/7k/3p4/p1pPp1p1/P3P3/5B2/P4PK1/8 b - - 1 47,Kg6,607,615,8,1
8/8/3p2k1/p1pPp1p1/P3P3/5B2/P4PK1/8 w - - 2 48,Kg3,610,623,13,1
8/8/3p2k1/p1pPp1p1/P3P3/5BK1/P4P2/8 b - - 3 48,Kf6,606,546,-60,1
8/8/3p1k2/p1pPp1p1/P3P3/5BK1/P4P2/8 w - - 4 49,Kg4,607,614,7,1
8/8/3p1k2/p1pPp1p1/P3P1K1/5B2/P4P2/8 b - - 5 49,Kg6,610,621,11,1
8/8/3p2k1/p1pPp1p1/P3P1K1/5B2/P4P2/8 w - - 6 50,Be2,594,602,8,1
8/8/3p2k1/p1pPp1p1/P3P1K1/8/P3BP2/8 b - - 7 50,Kf6,610,617,7,1
8/8/3p1k2/p1pPp1p1/P3P1K1/8/P3BP2/8 w - - 8 51,Kh5,621,634,13,1
8/8/3p1k2/p1pPp1pK/P3P3/8/P3BP2/8 b - - 9 51,g4,655,655,0,1
8/8/3p1k2/p1pPp2K/P3P1p1/8/P3BP2/8 w - - 0 52,Bxg4,669,615,-54,1
8/8/3p1k2/p1pPp2K/P3P1B1/8/P4P2/8 b - - 0 52,c4,656,670,14,1
8/8/3p1k2/p2Pp2K/P1p1P1B1/8/P4P2/8 w - - 0 53,Bd1,681,639,-42,1
8/8/3p1k2/p2Pp2K/P1p1P3/8/P4P2/3B4 b - - 1 53,c3,693,695,2,1
8/8/3p1k2/p2Pp2K/P3P3/2p5/P4P2/3B4 w - - 0 54,f3,658,704,46,1
8/8/3p1k2/p2Pp2K/P3P3/2p2P2/P7/3B4 b - - 0 54,Ke7,706,709,3,1
8/4k3/3p4/p2Pp2K/P3P3/2p2P2/P7/3B4 w - - 1 55,Kg5,745,689,-56,1
8/4k3/3p4/p2Pp1K1/P3P3/2p2P2/P7/3B4 b - - 2 55,Kd7,682,757,75,1
8/3k4/3p4/p2Pp1K1/P3P3/2p2P2/P7/3B4 w - - 3 56,Kf5,775,680,-95,1
8/3k4/3p4/p2PpK2/P3P3/2p2P2/P7/3B4 b - - 4 56,Ke7,660,660,0,1
8/4k3/3p4/p2PpK2/P3P3/2p2P2/P7/3B4 w - - 5 57,Bb3,707,669,-38,1
8/4k3/3p4/p2PpK2/P3P3/1Bp2P2/P7/8 b - - 6 57,Kf7,773,776,3,1
8/5k2/3p4/p2PpK2/P3P3/1Bp2P2/P7/8 w - - 7 58,f4,793,652,-141,0
8/5k2/3p4/p2PpK2/P3PP2/1Bp5/P7/8 b - - 0 58,exf4,653,660,7,1
8/5k2/3p4/p2P1K2/P3Pp2/1Bp5/P7/8 w - - 0 59,Kxf4,661,654,-7,1
8/5k2/3p4/p2P4/P3PK2/1Bp5/P7/8 b - - 0 59,Kf6,679,694,15,1
8/8/3p1k2/p2P4/P3PK2/1Bp5/P7/8 w - - 1 60,Ke3,712,658,-54,1
8/8/3p1k2/p2P4/P3P3/1Bp1K3/P7/8 b - - 2 60,Ke5,633,667,34,1
8/8/3p4/p2Pk3/P3P3/1Bp1K3/P7/8 w - - 3 61,Kd3,643,632,-11,1
8/8/3p4/p2Pk3/P3P3/1BpK4/P7/8 b - - 4 61,Kf4,685,694,9,1
8/8/3p4/p2P4/P3Pk2/1BpK4/P7/8 w - - 5 62,Bc2,713,709,-4,1
8/8/3p4/p2P4/P3Pk2/2pK4/P1B5/8 b - - 6 62,Kf3,696,727,31,1
8/8/3p4/p2P4/P3P3/2pK1k2/P1B5/8 w - - 7 63,Kxc3,719,733,14,1
8/8/3p4/p2P4/P3P3/2K2k2/P1B5/8 b - - 0 63,Ke3,777,800,23,1
8/8/3p4/p2P4/P3P3/2K1k3/P1B5/8 w - - 1 64,a3,811,674,-137,0
8/8/3p4/p2P4/P3P3/P1K1k3/2B5/8 b - - 0 64,Ke2,721,831,110,1
8/8/3p4/p2P4/P3P3/P1K5/2B1k3/8 w - - 1 65,Kd4,830,679,-151,0
8/8/3p4/p2P4/P2KP3/P7/2B1k3/8 b - - 2 65,Kd2,665,739,74,1
8/8/3p4/p2P4/P2KP3/P7/2Bk4/8 w - - 3 66,Bd3,810,837,27,1
8/8/3p4/p2P4/P2KP3/P2B4/3k4/8 b - - 4 66,Kc1,873,925,52,1
8/8/3p4/p2P4/P2KP3/P2B4/8/2k5 w - - 5 67,e5,934,889,-45,1
8/8/3p4/p2PP3/P2K4/P2B4/8/2k5 b - - 0 67,dxe5+,916,934,18,1
8/8/8/p2Pp3/P2K4/P2B4/8/2k5 w - - 0 68,Kxe5,934,770,-164,0
8/8/8/p2PK3/P7/P2B4/8/2k5 b - - 0 68,Kb2,781,950,169,1
8/8/8/p2PK3/P7/P2B4/1k6/8 w - - 1 69,d6,992,775,-217,0
8/8/3P4/p3K3/P7/P2B4/1k6/8 b - - 0 69,Kxa3,753,753,0,1
8/8/3P4/p3K3/P7/k2B4/8/8 w - - 0 70,Bb5,811,876,65,1
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,c4,36,-6,-42,1
rnbqkbnr/pppppppp/8/8/2P5/8/PP1PPPPP/RNBQKBNR b KQkq - 0 1,c5,-14,20,34,1
rnbqkbnr/pp1ppppp/8/2p5/2P5/8/PP1PPPPP/RNBQKBNR w KQkq - 0 2,Nc3,18,17,-1,1
rnbqkbnr/pp1ppppp/8/2p5/2P5/2N5/PP1PPPPP/R1BQKBNR b KQkq - 1 2,e6,20,18,-2,1
rnbqkbnr/pp1p1ppp/4p3/2p5/2P5/2N5/PP1PPPPP/R1BQKBNR w KQkq - 0 3,d4,16,-22,-38,1
rnbqkbnr/pp1p1ppp/4p3/2p5/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq - 0 3,Qb6,-14,137,151,1
rnb1kbnr/pp1p1ppp/1q2p3/2p5/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 1 4,e3,125,94,-31,1
rnb1kbnr/pp1p1ppp/1q2p3/2p5/2PP4/2N1P3/PP3PPP/R1BQKBNR b KQkq - 0 4,g6,102,154,52,1
rnb1kbnr/pp1p1p1p/1q2p1p1/2p5/2PP4/2N1P3/PP3PPP/R1BQKBNR w KQkq - 0 5,Nf3,148,116,-32,1
rnb1kbnr/pp1p1p1p/1q2p1p1/2p5/2PP4/2N1PN2/PP3PPP/R1BQKB1R b KQkq - 1 5,Bg7,108,180,72,1
rnb1k1nr/pp1p1pbp/1q2p1p1/2p5/2PP4/2N1PN2/PP3PPP/R1BQKB1R w KQkq - 2 6,d5,190,80,-110,0
rnb1k1nr/pp1p1pbp/1q2p1p1/2pP4/2P5/2N1PN2/PP3PPP/R1BQKB1R b KQkq - 0 6,exd5,72,151,79,1
rnb1k1nr/pp1p1pbp/1q4p1/2pp4/2P5/2N1PN2/PP3PPP/R1BQKB1R w KQkq - 0 7,Nxd5,117,75,-42,1
rnb1k1nr/pp1p1pbp/1q4p1/2pN4/2P5/4PN2/PP3PPP/R1BQKB1R b KQkq - 0 7,Qa5+,59,139,80,1
rnb1k1nr/pp1p1pbp/6p1/q1pN4/2P5/4PN2/PP3PPP/R1BQKB1R w KQkq - 1 8,Bd2,140,132,-8,1
rnb1k1nr/pp1p1pbp/6p1/q1pN4/2P5/4PN2/PP1B1PPP/R2QKB1R b KQkq - 2 8,Qa6,134,706,572,1
rnb1k1nr/pp1p1pbp/q5p1/2pN4/2P5/4PN2/PP1B1PPP/R2QKB1R w KQkq - 3 9,Qc2,681,322,-359,0
rnb1k1nr/pp1p1pbp/q5p1/2pN4/2P5/4PN2/PPQB1PPP/R3KB1R b KQkq - 4 9,Nc6,354,645,291,1
r1b1k1nr/pp1p1pbp/q1n3p1/2pN4/2P5/4PN2/PPQB1PPP/R3KB1R w KQkq - 5 10,Be2,669,431,-238,0
r1b1k1nr/pp1p1pbp/q1n3p1/2pN4/2P5/4PN2/PPQBBPPP/R3K2R b KQkq - 6 10,Nb4,458,645,187,1
r1b1k1nr/pp1p1pbp/q5p1/2pN4/1nP5/4PN2/PPQBBPPP/R3K2R w KQkq - 7 11,Qb3,673,91,-582,0
r1b1k1nr/pp1p1pbp/q5p1/2pN4/1nP5/1Q2PN2/PP1BBPPP/R3K2R b KQkq - 8 11,Ne7,96,639,543,1
r1b1k2r/pp1pnpbp/q5p1/2pN4/1nP5/1Q2PN2/PP1BBPPP/R3K2R w KQkq - 9 12,Nxe7,666,181,-485,0
r1b1k2r/pp1pNpbp/q5p1/2p5/1nP5/1Q2PN2/PP1BBPPP/R3K2R b KQkq - 0 12,Kxe7,172,183,11,1
r1b4r/pp1pkpbp/q5p1/2p5/1nP5/1Q2PN2/PP1BBPPP/R3K2R w KQ - 0 13,a3,192,184,-8,1
r1b4r/pp1pkpbp/q5p1/2p5/1nP5/PQ2PN2/1P1BBPPP/R3K2R b KQ - 0 13,Nc6,153,159,6,1
r1b4r/pp1pkpbp/q1n3p1/2p5/2P5/PQ2PN2/1P1BBPPP/R3K2R w KQ - 1 14,O-O,172,122,-50,1
r1b4r/pp1pkpbp/q1n3p1/2p5/2P5/PQ2PN2/1P1BBPPP/R4RK1 b - - 2 14,h5,108,268,160,1
r1b4r/pp1pkpb1/q1n3p1/2p4p/2P5/PQ2PN2/1P1BBPPP/R4RK1 w - - 0 15,Nh4,285,9,-276,0
r1b4r/pp1pkpb1/q1n3p1/2p4p/2P4N/PQ2P3/1P1BBPPP/R4RK1 b - - 1 15,g5,99,488,389,1
r1b4r/pp1pkpb1/q1n5/2p3pp/2P4N/PQ2P3/1P1BBPPP/R4RK1 w - - 0 16,Nf5+,473,467,-6,1
r1b4r/pp1pkpb1/q1n5/2p2Npp/2P5/PQ2P3/1P1BBPPP/R4RK1 b - - 1 16,Kf8,443,484,41,1
r1b2k1r/pp1p1pb1/q1n5/2p2Npp/2P5/PQ2P3/1P1BBPPP/R4RK1 w - - 2 17,Nxg7,459,452,-7,1
r1b2k1r/pp1p1pN1/q1n5/2p3pp/2P5/PQ2P3/1P1BBPPP/R4RK1 b - - 0 17,Kxg7,466,454,-12,1
r1b4r/pp1p1pk1/q1n5/2p3pp/2P5/PQ2P3/1P1BBPPP/R4RK1 w - - 0 18,Bc3+,461,444,-17,1
r1b4r/pp1p1pk1/q1n5/2p3pp/2P5/PQB1P3/1P2BPPP/R4RK1 b - - 1 18,f6,450,416,-34,1
r1b4r/pp1p2k1/q1n2p2/2p3pp/2P5/PQB1P3/1P2BPPP/R4RK1 w - - 0 19,Rad1,490,400,-90,1
r1b4r/pp1p2k1/q1n2p2/2p3pp/2P5/PQB1P3/1P2BPPP/3R1RK1 b - - 1 19,Ne7,411,429,18,1
r1b4r/pp1pn1k1/q4p2/2p3pp/2P5/PQB1P3/1P2BPPP/3R1RK1 w - - 2 20,Qc2,421,404,-17,1
r1b4r/pp1pn1k1/q4p2/2p3pp/2P5/P1B1P3/1PQ1BPPP/3R1RK1 b - - 3 20,h4,416,446,30,1
r1b4r/pp1pn1k1/q4p2/2p3p1/2P4p/P1B1P3/1PQ1BPPP/3R1RK1 w - - 0 21,Rd3,463,313,-150,0
r1b4r/pp1pn1k1/q4p2/2p3p1/2P4p/P1BRP3/1PQ1BPPP/5RK1 b - - 1 21,h3,324,381,57,1
r1b4r/pp1pn1k1/q4p2/2p3p1/2P5/P1BRP2p/1PQ1BPPP/5RK1 w - - 0 22,g3,338,338,0,1
r1b4r/pp1pn1k1/q4p2/2p3p1/2P5/P1BRP1Pp/1PQ1BP1P/5RK1 b - - 0 22,Qc6,319,392,73,1
r1b4r/pp1pn1k1/2q2p2/2p3p1/2P5/P1BRP1Pp/1PQ1BP1P/5RK1 w - - 1 23,f3,375,227,-148,0
r1b4r/pp1pn1k1/2q2p2/2p3p1/2P5/P1BRPPPp/1PQ1B2P/5RK1 b - - 0 23,g4,200,482,282,1
r1b4r/pp1pn1k1/2q2p2/2p5/2P3p1/P1BRPPPp/1PQ1B2P/5RK1 w - - 0 24,e4,481,441,-40,1
r1b4r/pp1pn1k1/2q2p2/2p5/2P1P1p1/P1BR1PPp/1PQ1B2P/5RK1 b - - 0 24,Rf8,492,471,-21,1
r1b2r2/pp1pn1k1/2q2p2/2p5/2P1P1p1/P1BR1PPp/1PQ1B2P/5RK1 w - - 1 25,Re3,532,337,-195,0
r1b2r2/pp1pn1k1/2q2p2/2p5/2P1P1p1/P1B1RPPp/1PQ1B2P/5RK1 b - - 2 25,Kf7,357,526,169,1
r1b2r2/pp1pnk2/2q2p2/2p5/2P1P1p1/P1B1RPPp/1PQ1B2P/5RK1 w - - 3 26,e5,553,446,-107,0
r1b2r2/pp1pnk2/2q2p2/2p1P3/2P3p1/P1B1RPPp/1PQ1B2P/5RK1 b - - 0 26,Nf5,462,715,253,1
r1b2r2/pp1p1k2/2q2p2/2p1Pn2/2P3p1/P1B1RPPp/1PQ1B2P/5RK1 w - - 1 27,Qxf5,723,692,-31,1
r1b2r2/pp1p1k2/2q2p2/2p1PQ2/2P3p1/P1B1RPPp/1P2B2P/5RK1 b - - 0 27,Ke8,666,688,22,1
r1b1kr2/pp1p4/2q2p2/2p1PQ2/2P3p1/P1B1RPPp/1P2B2P/5RK1 w - - 1 28,exf6+,722,733,11,1
r1b1kr2/pp1p4/2q2P2/2p2Q2/2P3p1/P1B1RPPp/1P2B2P/5RK1 b - - 0 28,Kd8,706,711,5,1
r1bk1r2/pp1p4/2q2P2/2p2Q2/2P3p1/P1B1RPPp/1P2B2P/5RK1 w - - 1 29,Qxg4,715,743,28,1
r1bk1r2/pp1p4/2q2P2/2p5/2P3Q1/P1B1RPPp/1P2B2P/5RK1 b - - 0 29,d6,728,750,22,1
r1bk1r2/pp6/2qp1P2/2p5/2P3Q1/P1B1RPPp/1P2B2P/5RK1 w - - 0 30,Qg5,754,704,-50,1
r1bk1r2/pp6/2qp1P2/2p3Q1/2P5/P1B1RPPp/1P2B2P/5RK1 b - - 1 30,Bd7,684,717,33,1
r2k1r2/pp1b4/2qp1P2/2p3Q1/2P5/P1B1RPPp/1P2B2P/5RK1 w - - 2 31,f7+,727,708,-19,1
r2k1r2/pp1b1P2/2qp4/2p3Q1/2P5/P1B1RPPp/1P2B2P/5RK1 b - - 0 31,Kc7,698,721,23,1
r4r2/ppkb1P2/2qp4/2p3Q1/2P5/P1B1RPPp/1P2B2P/5RK1 w - - 1 32,Bf6,696,405,-291,0
r4r2/ppkb1P2/2qp1B2/2p3Q1/2P5/P3RPPp/1P2B2P/5RK1 b - - 2 32,Qb6,439,646,207,1
r4r2/ppkb1P2/1q1p1B2/2p3Q1/2P5/P3RPPp/1P2B2P/5RK1 w - - 3 33,Re4,684,461,-223,0
r4r2/ppkb1P2/1q1p1B2/2p3Q1/2P1R3/P4PPp/1P2B2P/5RK1 b - - 4 33,Qc6,456,699,243,1
r4r2/ppkb1P2/2qp1B2/2p3Q1/2P1R3/P4PPp/1P2B2P/5RK1 w - - 5 34,b4,688,500,-188,0
r4r2/ppkb1P2/2qp1B2/2p3Q1/1PP1R3/P4PPp/4B2P/5RK1 b - - 0 34,cxb4,465,629,164,1
r4r2/ppkb1P2/2qp1B2/6Q1/1pP1R3/P4PPp/4B2P/5RK1 w - - 0 35,axb4,610,504,-106,0
r4r2/ppkb1P2/2qp1B2/6Q1/1PP1R3/5PPp/4B2P/5RK1 b - - 0 35,a6,576,735,159,1
r4r2/1pkb1P2/p1qp1B2/6Q1/1PP1R3/5PPp/4B2P/5RK1 w - - 0 36,c5,701,658,-43,1
r4r2/1pkb1P2/p1qp1B2/2P3Q1/1P2R3/5PPp/4B2P/5RK1 b - - 0 36,Rxf7,641,721,80,1
r7/1pkb1r2/p1qp1B2/2P3Q1/1P2R3/5PPp/4B2P/5RK1 w - - 0 37,cxd6+,788,802,14,1
r7/1pkb1r2/p1qP1B2/6Q1/1P2R3/5PPp/4B2P/5RK1 b - - 0 37,Kb6,814,9998,9184,1
r7/1p1b1r2/pkqP1B2/6Q1/1P2R3/5PPp/4B2P/5RK1 w - - 1 38,Bd4+,9998,9999,1,1
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e4,30,30,0,1
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,b6,29,90,61,1
rnbqkbnr/p1pppppp/1p6/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,d4,90,94,4,1
rnbqkbnr/p1pppppp/1p6/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,Bb7,95,118,23,1
rn1qkbnr/pbpppppp/1p6/8/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 1 3,f3,90,39,-51,1
rn1qkbnr/pbpppppp/1p6/8/3PP3/5P2/PPP3PP/RNBQKBNR b KQkq - 0 3,e6,32,47,15,1
rn1qkbnr/pbpp1ppp/1p2p3/8/3PP3/5P2/PPP3PP/RNBQKBNR w KQkq - 0 4,Nh3,42,36,-6,1
rn1qkbnr/pbpp1ppp/1p2p3/8/3PP3/5P1N/PPP3PP/RNBQKB1R b KQkq - 1 4,f5,15,108,93,1
rn1qkbnr/pbpp2pp/1p2p3/5p2/3PP3/5P1N/PPP3PP/RNBQKB1R w KQkq - 0 5,Nf2,78,58,-20,1
rn1qkbnr/pbpp2pp/1p2p3/5p2/3PP3/5P2/PPP2NPP/RNBQKB1R b KQkq - 1 5,fxe4,65,110,45,1
rn1qkbnr/pbpp2pp/1p2p3/8/3Pp3/5P2/PPP2NPP/RNBQKB1R w KQkq - 0 6,Nxe4,105,-151,-256,0
rn1qkbnr/pbpp2pp/1p2p3/8/3PN3/5P2/PPP3PP/RNBQKB1R b KQkq - 0 6,Nf6,-126,12,138,1
rn1qkb1r/pbpp2pp/1p2pn2/8/3PN3/5P2/PPP3PP/RNBQKB1R w KQkq - 1 7,Nf2,7,-80,-87,1
rn1qkb1r/pbpp2pp/1p2pn2/8/3P4/5P2/PPP2NPP/RNBQKB1R b KQkq - 2 7,Be7,-84,-53,31,1
rn1qk2r/pbppb1pp/1p2pn2/8/3P4/5P2/PPP2NPP/RNBQKB1R w KQkq - 3 8,Nc3,-66,-89,-23,1
rn1qk2r/pbppb1pp/1p2pn2/8/3P4/2N2P2/PPP2NPP/R1BQKB1R b KQkq - 4 8,O-O,-97,-91,6,1
rn1q1rk1/pbppb1pp/1p2pn2/8/3P4/2N2P2/PPP2NPP/R1BQKB1R w KQ - 5 9,Bd3,-77,-82,-5,1
rn1q1rk1/pbppb1pp/1p2pn2/8/3P4/2NB1P2/PPP2NPP/R1BQK2R b KQ - 6 9,c5,-74,-77,-3,1
rn1q1rk1/pb1pb1pp/1p2pn2/2p5/3P4/2NB1P2/PPP2NPP/R1BQK2R w KQ - 0 10,dxc5,-88,-74,14,1
rn1q1rk1/pb1pb1pp/1p2pn2/2P5/8/2NB1P2/PPP2NPP/R1BQK2R b KQ - 0 10,bxc5,-76,-72,4,1
rn1q1rk1/pb1pb1pp/4pn2/2p5/8/2NB1P2/PPP2NPP/R1BQK2R w KQ - 0 11,O-O,-68,-69,-1,1
rn1q1rk1/pb1pb1pp/4pn2/2p5/8/2NB1P2/PPP2NPP/R1BQ1RK1 b - - 1 11,Nc6,-74,-72,2,1
r2q1rk1/pb1pb1pp/2n1pn2/2p5/8/2NB1P2/PPP2NPP/R1BQ1RK1 w - - 2 12,Bg5,-69,-85,-16,1
r2q1rk1/pb1pb1pp/2n1pn2/2p3B1/8/2NB1P2/PPP2NPP/R2Q1RK1 b - - 3 12,h6,-66,-83,-17,1
r2q1rk1/pb1pb1p1/2n1pn1p/2p3B1/8/2NB1P2/PPP2NPP/R2Q1RK1 w - - 0 13,Bh4,-79,-74,5,1
r2q1rk1/pb1pb1p1/2n1pn1p/2p5/7B/2NB1P2/PPP2NPP/R2Q1RK1 b - - 1 13,Nd4,-74,-67,7,1
r2q1rk1/pb1pb1p1/4pn1p/2p5/3n3B/2NB1P2/PPP2NPP/R2Q1RK1 w - - 2 14,Re1,-69,-89,-20,1
r2q1rk1/pb1pb1p1/4pn1p/2p5/3n3B/2NB1P2/PPP2NPP/R2QR1K1 b - - 3 14,Qb6,-99,10,109,1
r4rk1/pb1pb1p1/1q2pn1p/2p5/3n3B/2NB1P2/PPP2NPP/R2QR1K1 w - - 4 15,Kh1,25,-184,-209,0
r4rk1/pb1pb1p1/1q2pn1p/2p5/3n3B/2NB1P2/PPP2NPP/R2QR2K b - - 5 15,Qxb2,-196,-36,160,1
r4rk1/pb1pb1p1/4pn1p/2p5/3n3B/2NB1P2/PqP2NPP/R2QR2K w - - 0 16,Na4,-73,-231,-158,0
r4rk1/pb1pb1p1/4pn1p/2p5/N2n3B/3B1P2/PqP2NPP/R2QR2K b - - 1 16,Qa3,-158,-177,-19,1
r4rk1/pb1pb1p1/4pn1p/2p5/N2n3B/q2B1P2/P1P2NPP/R2QR2K w - - 2 17,c3,-174,-179,-5,1
r4rk1/pb1pb1p1/4pn1p/2p5/N2n3B/q1PB1P2/P4NPP/R2QR2K b - - 0 17,Nf5,-188,215,403,1
r4rk1/pb1pb1p1/4pn1p/2p2n2/N6B/q1PB1P2/P4NPP/R2QR2K w - - 1 18,Bxf5,191,221,30,1
r4rk1/pb1pb1p1/4pn1p/2p2B2/N6B/q1P2P2/P4NPP/R2QR2K b - - 0 18,exf5,238,263,25,1
r4rk1/pb1pb1p1/5n1p/2p2p2/N6B/q1P2P2/P4NPP/R2QR2K w - - 0 19,Rxe7,313,353,40,1
r4rk1/pb1pR1p1/5n1p/2p2p2/N6B/q1P2P2/P4NPP/R2Q3K b - - 0 19,g5,348,339,-9,1
r4rk1/pb1pR3/5n1p/2p2pp1/N6B/q1P2P2/P4NPP/R2Q3K w - - 0 20,Rb1,363,-32,-395,0
r4rk1/pb1pR3/5n1p/2p2pp1/N6B/q1P2P2/P4NPP/1R1Q3K b - - 1 20,Bc6,-16,-13,3,1
r4rk1/p2pR3/2b2n1p/2p2pp1/N6B/q1P2P2/P4NPP/1R1Q3K w - - 2 21,Qb3+,69,-59,-128,0
r4rk1/p2pR3/2b2n1p/2p2pp1/N6B/qQP2P2/P4NPP/1R5K b - - 3 21,Qxb3,-66,-70,-4,1
r4rk1/p2pR3/2b2n1p/2p2pp1/N6B/1qP2P2/P4NPP/1R5K w - - 0 22,axb3,-68,-68,0,1
r4rk1/p2pR3/2b2n1p/2p2pp1/N6B/1PP2P2/5NPP/1R5K b - - 0 22,gxh4,-70,-85,-15,1
r4rk1/p2pR3/2b2n1p/2p2p2/N6p/1PP2P2/5NPP/1R5K w - - 0 23,Re5,-61,-137,-76,1
r4rk1/p2p4/2b2n1p/2p1Rp2/N6p/1PP2P2/5NPP/1R5K b - - 1 23,d6,-168,-26,142,1
r4rk1/p7/2bp1n1p/2p1Rp2/N6p/1PP2P2/5NPP/1R5K w - - 0 24,Rxf5,-22,-130,-108,0
r4rk1/p7/2bp1n1p/2p2R2/N6p/1PP2P2/5NPP/1R5K b - - 0 24,Nd5,-140,-76,64,1
r4rk1/p7/2bp3p/2pn1R2/N6p/1PP2P2/5NPP/1R5K w - - 1 25,Rxf8+,-69,-86,-17,1
r4Rk1/p7/2bp3p/2pn4/N6p/1PP2P2/5NPP/1R5K b - - 0 25,Rxf8,-90,-46,44,1
5rk1/p7/2bp3p/2pn4/N6p/1PP2P2/5NPP/1R5K w - - 0 26,Ra1,-66,-165,-99,1
5rk1/p7/2bp3p/2pn4/N6p/1PP2P2/5NPP/R6K b - - 1 26,Bxa4,-112,-60,52,1
5rk1/p7/3p3p/2pn4/b6p/1PP2P2/5NPP/R6K w - - 0 27,Rxa4,-35,-59,-24,1
5rk1/p7/3p3p/2pn4/R6p/1PP2P2/5NPP/7K b - - 0 27,Rf7,-58,34,92,1
6k1/p4r2/3p3p/2pn4/R6p/1PP2P2/5NPP/7K w - - 1 28,c4,36,-16,-52,1
6k1/p4r2/3p3p/2pn4/R1P4p/1P3P2/5NPP/7K b - - 0 28,Nb4,-14,35,49,1
6k1/p4r2/3p3p/2p5/RnP4p/1P3P2/5NPP/7K w - - 1 29,Ne4,30,27,-3,1
6k1/p4r2/3p3p/2p5/RnP1N2p/1P3P2/6PP/7K b - - 2 29,Re7,23,76,53,1
6k1/p3r3/3p3p/2p5/RnP1N2p/1P3P2/6PP/7K w - - 3 30,Kg1,72,50,-22,1
6k1/p3r3/3p3p/2p5/RnP1N2p/1P3P2/6PP/6K1 b - - 4 30,a6,60,69,9,1
6k1/4r3/p2p3p/2p5/RnP1N2p/1P3P2/6PP/6K1 w - - 0 31,Kf2,89,58,-31,1
6k1/4r3/p2p3p/2p5/RnP1N2p/1P3P2/5KPP/8 b - - 1 31,Re6,69,77,8,1
6k1/8/p2pr2p/2p5/RnP1N2p/1P3P2/5KPP/8 w - - 2 32,Ke3,70,74,4,1
6k1/8/p2pr2p/2p5/RnP1N2p/1P2KP2/6PP/8 b - - 3 32,Kf7,63,50,-13,1
8/5k2/p2pr2p/2p5/RnP1N2p/1P2KP2/6PP/8 w - - 4 33,Kf4,53,61,8,1
8/5k2/p2pr2p/2p5/RnP1NK1p/1P3P2/6PP/8 b - - 5 33,Kg6,49,198,149,1
8/8/p2pr1kp/2p5/RnP1NK1p/1P3P2/6PP/8 w - - 6 34,Kg4,259,265,6,1
8/8/p2pr1kp/2p5/RnP1N1Kp/1P3P2/6PP/8 b - - 7 34,d5,280,337,57,1
